ID,ID
Product,Product
SKU,SKU
Price,Price
Select,Select
Quantity,Quantity
"Wish List","Wish List"
"Default Wishlist(s)","Default Wishlist(s)"
"My Wish Lists","My Wish Lists"
Submit,Submit
"%1 item(s) have been added to the wishlist","%1 item(s) have been added to the wishlist"
"This item is deleted successfully","This item is deleted successfully"
"This item is moved successfully","This item is moved successfully"
"This item is copied successfully","This item is copied successfully"
"%1 item has been moved","%1 item has been moved"
"%1 item(s) have been moved","%1 item(s) have been moved"
"%1 item has been copied","%1 item has been copied"
"%1 items have been copied","%1 items have been copied"
"%1 item has been deleted","%1 item has been deleted"
"%1 items have been deleted","%1 items have been deleted"
"Product WishLists Report","Product WishLists Report"
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"Wishlist number limit has been reached.","Wishlist number limit has been reached."
Wishlist,Wishlist
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"Something went wrong while adding to wishlist","Something went wrong while adding to wishlist"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"New Wishlist","New Wishlist"
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Please enter a valid email address."
"Your wish list has been shared.","Your wish list has been shared."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"Wishlist Updated","Wishlist Updated"
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"You have moved %1 to %2 wishlist","You have moved %1 to %2 wishlist"
"You have copied %1 from %2 wishlist to %3 wishlist","You have copied %1 from %2 wishlist to %3 wishlist"
"You deleted %1 from %2 wishlist","You deleted %1 from %2 wishlist"
"Mageplaza wishlist category does not exist.","Mageplaza wishlist category does not exist."
"Category name is not empty.","Category name is not empty."
"The catalog does not contain input product","The catalog does not contain input product"
"Category id is not empty.","Category id is not empty."
"Category is not exits.","Category is not exits."
"The default category cannot be edited.","The default category cannot be edited."
"Module Better Wishlist extension is disabled","Module Better Wishlist extension is disabled"
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"All Items","All Items"
"Save all changes","Save all changes"
"Delete Category","Delete Category"
Delete,Delete
"Edit Category","Edit Category"
Edit,Edit
"Add New","Add New"
"Add New Product(s)","Add New Product(s)"
"New Wishlist Name ","New Wishlist Name "
Save,Save
Add,Add
"Are you sure you want to delete the selected item(s)?","Are you sure you want to delete the selected item(s)?"
"Is Default","Is Default"
"Add Option","Add Option"
"Sort Option","Sort Option"
"Price: ","Price: "
