"%1 days","%1 days"
"%1 day","%1 day"
ID,ID
Title,Title
Action,Action
Amount,Amount
Status,Status
"Store View","Store View"
"Created On","Created On"
"Expire On","Expire On"
"Reward Account Enable","Reward Account Enable"
"Enable Reward Account","Enable Reward Account"
"Balance Information","Balance Information"
"Current Balance:","Current Balance:"
"Total Earning Points:","Total Earning Points:"
"Total Spending Points:","Total Spending Points:"
"Update Balance","Update Balance"
"Update Points","Update Points"
Comment,Comment
"Points expire after","Points expire after"
"Day(s) since the transaction date. If empty or 0, there is no expiration","Day(s) since the transaction date. If empty or 0, there is no expiration"
"Email Notification","Email Notification"
"Subscribe to balance update","Subscribe to balance update"
"Subscribe to points expiration notification","Subscribe to points expiration notification"
Transactions,Transactions
"Reward Points","Reward Points"
"Save and Continue Edit","Save and Continue Edit"
"Earning Rate Information","Earning Rate Information"
"Spending Rate Information","Spending Rate Information"
Website,Website
"Customer Group(s)","Customer Group(s)"
"Earning Rate","Earning Rate"
"Spending Rate","Spending Rate"
"The ratio of spends to points earned for that","The ratio of spends to points earned for that"
"The ratio of points spent to a discount","The ratio of points spent to a discount"
"Min Point","Min Point"
Priority,Priority
"If you have similar rates, set the priority of this one (lower number means higher priority with 0 being the highest)","If you have similar rates, set the priority of this one (lower number means higher priority with 0 being the highest)"
Point(s),Point(s)
"First Name","First Name"
"Last Name","Last Name"
Email,Email
Group,Group
Expire,Expire
Cancel,Cancel
"This action can not be restored. Are you sure?","This action can not be restored. Are you sure?"
"Transaction Information","Transaction Information"
Customer,Customer
"Point Amount","Point Amount"
"Created At","Created At"
"Customer Id","Customer Id"
"This comment will not be translated.","This comment will not be translated."
"day(s) since the transaction date. If empty or 0, there is no expiration.","day(s) since the transaction date. If empty or 0, there is no expiration."
Home,Home
"Go to Home Page","Go to Home Page"
Earned,Earned
Spent,Spent
"This item does not exists.","This item does not exists."
"The earning rate has been saved successfully.","The earning rate has been saved successfully."
"The spending rate has been saved successfully.","The spending rate has been saved successfully."
"'An error occurred while saving the rate. Please try again later.' .","'An error occurred while saving the rate. Please try again later.' ."
"The earning rate has been deleted successfully.","The earning rate has been deleted successfully."
"The spending rate has been deleted successfully.","The spending rate has been deleted successfully."
"An error occurred while deleting the rate. Please try again later.","An error occurred while deleting the rate. Please try again later."
"Cannot delete the rate #%1","Cannot delete the rate #%1"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"'Something went wrong while updating the transaction.' .","'Something went wrong while updating the transaction.' ."
"A total of %1 record(s) have been cancelled.","A total of %1 record(s) have been cancelled."
"A total of %1 record(s) have been completed.","A total of %1 record(s) have been completed."
"No transaction was updated.","No transaction was updated."
"Edit Earning Rate #%1","Edit Earning Rate #%1"
"Add Earning Rate","Add Earning Rate"
"Edit Spending Rate #%1","Edit Spending Rate #%1"
"Add Spending Rate","Add Spending Rate"
"The transaction does not exist.","The transaction does not exist."
"The transaction has been canceled successfully.","The transaction has been canceled successfully."
